time,open,high,low,close,tick_volume,spread,real_volume
2025-07-10 17:00:00,1.16852,1.16869,1.16834,1.16866,209,9,0
2025-07-10 17:05:00,1.16865,1.169,1.16865,1.16883,171,9,0
2025-07-10 17:10:00,1.16885,1.16902,1.16863,1.16864,190,9,0
2025-07-10 17:15:00,1.16862,1.16888,1.16858,1.16887,133,9,0
2025-07-10 17:20:00,1.16886,1.16899,1.1685699999999999,1.16869,142,9,0
2025-07-10 17:25:00,1.1687,1.16871,1.1684700000000001,1.16858,133,9,0
2025-07-10 17:30:00,1.16858,1.16858,1.16812,1.16819,185,9,0
2025-07-10 17:35:00,1.1682,1.1687400000000001,1.1681300000000001,1.16862,153,9,0
2025-07-10 17:40:00,1.16863,1.16882,1.1686,1.16872,130,9,0
2025-07-10 17:45:00,1.1687,1.16904,1.16865,1.16889,143,9,0
2025-07-10 17:50:00,1.16889,1.1691,1.1688399999999999,1.16889,158,9,0
2025-07-10 17:55:00,1.16889,1.169,1.16881,1.16887,147,9,0
2025-07-10 18:00:00,1.16887,1.16924,1.16878,1.16919,174,9,0
2025-07-10 18:05:00,1.16922,1.16931,1.1690800000000001,1.1691,153,9,0
2025-07-10 18:10:00,1.1691,1.16944,1.16909,1.16936,142,9,0
2025-07-10 18:15:00,1.16936,1.16944,1.16924,1.16932,133,9,0
2025-07-10 18:20:00,1.16933,1.16943,1.16914,1.16922,146,9,0
2025-07-10 18:25:00,1.1692,1.1693500000000001,1.16916,1.16916,142,9,0
2025-07-10 18:30:00,1.16917,1.16923,1.1687400000000001,1.16883,160,9,0
2025-07-10 18:35:00,1.16883,1.16898,1.16876,1.1688,135,9,0
2025-07-10 18:40:00,1.1688,1.1689,1.1687400000000001,1.1687400000000001,98,9,0
2025-07-10 18:45:00,1.16873,1.1691,1.16873,1.16909,141,9,0
2025-07-10 18:50:00,1.16907,1.1691799999999999,1.16893,1.16905,122,9,0
2025-07-10 18:55:00,1.16906,1.16928,1.16906,1.16916,198,9,0
2025-07-10 19:00:00,1.16916,1.1693,1.16897,1.16906,153,9,0
2025-07-10 19:05:00,1.16906,1.16927,1.16892,1.16925,119,9,0
2025-07-10 19:10:00,1.16925,1.16936,1.16915,1.16929,114,9,0
2025-07-10 19:15:00,1.1693,1.16943,1.16915,1.16941,98,9,0
2025-07-10 19:20:00,1.16939,1.1694499999999999,1.16922,1.16923,94,9,0
2025-07-10 19:25:00,1.16923,1.16937,1.1692,1.16922,104,9,0
2025-07-10 19:30:00,1.16923,1.16932,1.16914,1.16923,120,9,0
2025-07-10 19:35:00,1.16924,1.1693,1.16912,1.16917,96,9,0
2025-07-10 19:40:00,1.16917,1.16957,1.16913,1.16957,127,9,0
2025-07-10 19:45:00,1.1696,1.1697899999999999,1.16958,1.16974,137,9,0
2025-07-10 19:50:00,1.16973,1.16986,1.16954,1.16964,126,9,0
2025-07-10 19:55:00,1.16964,1.16985,1.16949,1.16951,166,9,0
2025-07-10 20:00:00,1.1695,1.16972,1.16941,1.16962,134,9,0
2025-07-10 20:05:00,1.16961,1.1697899999999999,1.16961,1.16972,62,9,0
2025-07-10 20:10:00,1.16972,1.16975,1.16952,1.16953,88,9,0
2025-07-10 20:15:00,1.16953,1.16982,1.1694499999999999,1.16968,117,9,0
2025-07-10 20:20:00,1.16968,1.1698,1.16954,1.16954,67,9,0
